#map	level_1	level_2	level_3
map00564	Metabolism	Lipid metabolism	Glycerophospholipid metabolism
map00565	Metabolism	Lipid metabolism	Ether lipid metabolism
map00600	Metabolism	Lipid metabolism	Sphingolipid metabolism
map00590	Metabolism	Lipid metabolism	Arachidonic acid metabolism
map00591	Metabolism	Lipid metabolism	Linoleic acid metabolism
map00592	Metabolism	Lipid metabolism	alpha-Linolenic acid metabolism
map01040	Metabolism	Lipid metabolism	Biosynthesis of unsaturated fatty acids
map00230	Metabolism	Nucleotide metabolism	Purine metabolism
map00240	Metabolism	Nucleotide metabolism	Pyrimidine metabolism
map00250	Metabolism	Amino acid metabolism	Alanine, aspartate and glutamate metabolism
map00260	Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism
map00270	Metabolism	Amino acid metabolism	Cysteine and methionine metabolism
map00280	Metabolism	Amino acid metabolism	Valine, leucine and isoleucine degradation
map00290	Metabolism	Amino acid metabolism	Valine, leucine and isoleucine biosynthesis
map00300	Metabolism	Amino acid metabolism	Lysine biosynthesis
map00310	Metabolism	Amino acid metabolism	Lysine degradation
map00220	Metabolism	Amino acid metabolism	Arginine biosynthesis
map00330	Metabolism	Amino acid metabolism	Arginine and proline metabolism
map00340	Metabolism	Amino acid metabolism	Histidine metabolism
map00350	Metabolism	Amino acid metabolism	Tyrosine metabolism
map00360	Metabolism	Amino acid metabolism	Phenylalanine metabolism
map00380	Metabolism	Amino acid metabolism	Tryptophan metabolism
map00400	Metabolism	Amino acid metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis
map00410	Metabolism	Metabolism of other amino acids	beta-Alanine metabolism
map00430	Metabolism	Metabolism of other amino acids	Taurine and hypotaurine metabolism
map00440	Metabolism	Metabolism of other amino acids	Phosphonate and phosphinate metabolism
map00450	Metabolism	Metabolism of other amino acids	Selenocompound metabolism
map00460	Metabolism	Metabolism of other amino acids	Cyanoamino acid metabolism
map00471	Metabolism	Metabolism of other amino acids	D-Glutamine and D-glutamate metabolism
map00472	Metabolism	Metabolism of other amino acids	D-Arginine and D-ornithine metabolism
map00473	Metabolism	Metabolism of other amino acids	D-Alanine metabolism
map00480	Metabolism	Metabolism of other amino acids	Glutathione metabolism
map00510	Metabolism	Glycan biosynthesis and metabolism	N-Glycan biosynthesis
map00513	Metabolism	Glycan biosynthesis and metabolism	Various types of N-glycan biosynthesis
map00512	Metabolism	Glycan biosynthesis and metabolism	Mucin type O-glycan biosynthesis
map00515	Metabolism	Glycan biosynthesis and metabolism	Mannose type O-glycan biosynthesis
map00514	Metabolism	Glycan biosynthesis and metabolism	Other types of O-glycan biosynthesis
map00532	Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
map00534	Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan biosynthesis - heparan sulfate / heparin
map00533	Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan biosynthesis - keratan sulfate
map00531	Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan degradation
map00563	Metabolism	Glycan biosynthesis and metabolism	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
map00601	Metabolism	Glycan biosynthesis and metabolism	Glycosphingolipid biosynthesis - lacto and neolacto series
map00603	Metabolism	Glycan biosynthesis and metabolism	Glycosphingolipid biosynthesis - globo and isoglobo series
map00604	Metabolism	Glycan biosynthesis and metabolism	Glycosphingolipid biosynthesis - ganglio series
map00540	Metabolism	Glycan biosynthesis and metabolism	Lipopolysaccharide biosynthesis
map00550	Metabolism	Glycan biosynthesis and metabolism	Peptidoglycan biosynthesis
map00511	Metabolism	Glycan biosynthesis and metabolism	Other glycan degradation
map00571	Metabolism	Glycan biosynthesis and metabolism	Lipoarabinomannan (LAM) biosynthesis
map00572	Metabolism	Glycan biosynthesis and metabolism	Arabinogalactan biosynthesis - Mycobacterium
map00730	Metabolism	Metabolism of cofactors and vitamins	Thiamine metabolism
map00740	Metabolism	Metabolism of cofactors and vitamins	Riboflavin metabolism
map00750	Metabolism	Metabolism of cofactors and vitamins	Vitamin B6 metabolism
map00760	Metabolism	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism
map00770	Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis
map00780	Metabolism	Metabolism of cofactors and vitamins	Biotin metabolism
map00785	Metabolism	Metabolism of cofactors and vitamins	Lipoic acid metabolism
map00790	Metabolism	Metabolism of cofactors and vitamins	Folate biosynthesis
map00670	Metabolism	Metabolism of cofactors and vitamins	One carbon pool by folate
map00830	Metabolism	Metabolism of cofactors and vitamins	Retinol metabolism
map00860	Metabolism	Metabolism of cofactors and vitamins	Porphyrin and chlorophyll metabolism
map00130	Metabolism	Metabolism of cofactors and vitamins	Ubiquinone and other terpenoid-quinone biosynthesis
map00900	Metabolism	Metabolism of terpenoids and polyketides	Terpenoid backbone biosynthesis
map00902	Metabolism	Metabolism of terpenoids and polyketides	Monoterpenoid biosynthesis
map00909	Metabolism	Metabolism of terpenoids and polyketides	Sesquiterpenoid and triterpenoid biosynthesis
map00904	Metabolism	Metabolism of terpenoids and polyketides	Diterpenoid biosynthesis
map00906	Metabolism	Metabolism of terpenoids and polyketides	Carotenoid biosynthesis
map00905	Metabolism	Metabolism of terpenoids and polyketides	Brassinosteroid biosynthesis
map00981	Metabolism	Metabolism of terpenoids and polyketides	Insect hormone biosynthesis
map00908	Metabolism	Metabolism of terpenoids and polyketides	Zeatin biosynthesis
map00903	Metabolism	Metabolism of terpenoids and polyketides	Limonene and pinene degradation
map00281	Metabolism	Metabolism of terpenoids and polyketides	Geraniol degradation
map01052	Metabolism	Metabolism of terpenoids and polyketides	Type I polyketide structures
map00522	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of 12-, 14- and 16-membered macrolides
map01051	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of ansamycins
map01059	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of enediyne antibiotics
map01056	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of type II polyketide backbone
map01057	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of type II polyketide products
map00253	Metabolism	Metabolism of terpenoids and polyketides	Tetracycline biosynthesis
map00523	Metabolism	Metabolism of terpenoids and polyketides	Polyketide sugar unit biosynthesis
map01054	Metabolism	Metabolism of terpenoids and polyketides	Nonribosomal peptide structures
map01053	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides
map01055	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of vancomycin group antibiotics
map00940	Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis
map00945	Metabolism	Biosynthesis of other secondary metabolites	Stilbenoid, diarylheptanoid and gingerol biosynthesis
map00941	Metabolism	Biosynthesis of other secondary metabolites	Flavonoid biosynthesis
map00944	Metabolism	Biosynthesis of other secondary metabolites	Flavone and flavonol biosynthesis
map00942	Metabolism	Biosynthesis of other secondary metabolites	Anthocyanin biosynthesis
map00943	Metabolism	Biosynthesis of other secondary metabolites	Isoflavonoid biosynthesis
map00901	Metabolism	Biosynthesis of other secondary metabolites	Indole alkaloid biosynthesis
map00403	Metabolism	Biosynthesis of other secondary metabolites	Indole diterpene alkaloid biosynthesis
map00950	Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis
map00960	Metabolism	Biosynthesis of other secondary metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis
map01058	Metabolism	Biosynthesis of other secondary metabolites	Acridone alkaloid biosynthesis
map00232	Metabolism	Biosynthesis of other secondary metabolites	Caffeine metabolism
map00965	Metabolism	Biosynthesis of other secondary metabolites	Betalain biosynthesis
map00966	Metabolism	Biosynthesis of other secondary metabolites	Glucosinolate biosynthesis
map00402	Metabolism	Biosynthesis of other secondary metabolites	Benzoxazinoid biosynthesis
map00311	Metabolism	Biosynthesis of other secondary metabolites	Penicillin and cephalosporin biosynthesis
map00332	Metabolism	Biosynthesis of other secondary metabolites	Carbapenem biosynthesis
map00261	Metabolism	Biosynthesis of other secondary metabolites	Monobactam biosynthesis
map00331	Metabolism	Biosynthesis of other secondary metabolites	Clavulanic acid biosynthesis
map00521	Metabolism	Biosynthesis of other secondary metabolites	Streptomycin biosynthesis
map00524	Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis
map00525	Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis
map00401	Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis
map00404	Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis
map00405	Metabolism	Biosynthesis of other secondary metabolites	Phenazine biosynthesis
map00333	Metabolism	Biosynthesis of other secondary metabolites	Prodigiosin biosynthesis
map00254	Metabolism	Biosynthesis of other secondary metabolites	Aflatoxin biosynthesis
map00999	Metabolism	Biosynthesis of other secondary metabolites	Biosynthesis of various secondary metabolites - part 1
map00998	Metabolism	Biosynthesis of other secondary metabolites	Biosynthesis of various secondary metabolites - part 2
map00997	Metabolism	Biosynthesis of other secondary metabolites	Biosynthesis of various secondary metabolites - part 3
map00362	Metabolism	Xenobiotics biodegradation and metabolism	Benzoate degradation
map00627	Metabolism	Xenobiotics biodegradation and metabolism	Aminobenzoate degradation
map00364	Metabolism	Xenobiotics biodegradation and metabolism	Fluorobenzoate degradation
map00625	Metabolism	Xenobiotics biodegradation and metabolism	Chloroalkane and chloroalkene degradation
map00361	Metabolism	Xenobiotics biodegradation and metabolism	Chlorocyclohexane and chlorobenzene degradation
map00623	Metabolism	Xenobiotics biodegradation and metabolism	Toluene degradation
map00622	Metabolism	Xenobiotics biodegradation and metabolism	Xylene degradation
map00633	Metabolism	Xenobiotics biodegradation and metabolism	Nitrotoluene degradation
map00642	Metabolism	Xenobiotics biodegradation and metabolism	Ethylbenzene degradation
map00643	Metabolism	Xenobiotics biodegradation and metabolism	Styrene degradation
map00791	Metabolism	Xenobiotics biodegradation and metabolism	Atrazine degradation
map00930	Metabolism	Xenobiotics biodegradation and metabolism	Caprolactam degradation
map00363	Metabolism	Xenobiotics biodegradation and metabolism	Bisphenol degradation
map00621	Metabolism	Xenobiotics biodegradation and metabolism	Dioxin degradation
map00626	Metabolism	Xenobiotics biodegradation and metabolism	Naphthalene degradation
map00624	Metabolism	Xenobiotics biodegradation and metabolism	Polycyclic aromatic hydrocarbon degradation
map00365	Metabolism	Xenobiotics biodegradation and metabolism	Furfural degradation
map00984	Metabolism	Xenobiotics biodegradation and metabolism	Steroid degradation
map00980	Metabolism	Xenobiotics biodegradation and metabolism	Metabolism of xenobiotics by cytochrome P450
map00982	Metabolism	Xenobiotics biodegradation and metabolism	Drug metabolism - cytochrome P450
map00983	Metabolism	Xenobiotics biodegradation and metabolism	Drug metabolism - other enzymes
map01010	Metabolism	Chemical structure transformation maps	Overview of biosynthetic pathways
map01060	Metabolism	Chemical structure transformation maps	Biosynthesis of plant secondary metabolites
map01061	Metabolism	Chemical structure transformation maps	Biosynthesis of phenylpropanoids
map01062	Metabolism	Chemical structure transformation maps	Biosynthesis of terpenoids and steroids
map01063	Metabolism	Chemical structure transformation maps	Biosynthesis of alkaloids derived from shikimate pathway
map01064	Metabolism	Chemical structure transformation maps	Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid
map01065	Metabolism	Chemical structure transformation maps	Biosynthesis of alkaloids derived from histidine and purine
map01066	Metabolism	Chemical structure transformation maps	Biosynthesis of alkaloids derived from terpenoid and polyketide
map01070	Metabolism	Chemical structure transformation maps	Biosynthesis of plant hormones
map03020	Genetic Information Processing	Transcription	RNA polymerase
map03022	Genetic Information Processing	Transcription	Basal transcription factors
map03040	Genetic Information Processing	Transcription	Spliceosome
map03010	Genetic Information Processing	Translation	Ribosome
map00970	Genetic Information Processing	Translation	Aminoacyl-tRNA biosynthesis
map03013	Genetic Information Processing	Translation	RNA transport
map03015	Genetic Information Processing	Translation	mRNA surveillance pathway
map03008	Genetic Information Processing	Translation	Ribosome biogenesis in eukaryotes
map03060	Genetic Information Processing	Folding, sorting and degradation	Protein export
map04141	Genetic Information Processing	Folding, sorting and degradation	Protein processing in endoplasmic reticulum
map04130	Genetic Information Processing	Folding, sorting and degradation	SNARE interactions in vesicular transport
map04120	Genetic Information Processing	Folding, sorting and degradation	Ubiquitin mediated proteolysis
map04122	Genetic Information Processing	Folding, sorting and degradation	Sulfur relay system
map03050	Genetic Information Processing	Folding, sorting and degradation	Proteasome
map03018	Genetic Information Processing	Folding, sorting and degradation	RNA degradation
map03030	Genetic Information Processing	Replication and repair	DNA replication
map03410	Genetic Information Processing	Replication and repair	Base excision repair
map03420	Genetic Information Processing	Replication and repair	Nucleotide excision repair
map03430	Genetic Information Processing	Replication and repair	Mismatch repair
map03440	Genetic Information Processing	Replication and repair	Homologous recombination
map03450	Genetic Information Processing	Replication and repair	Non-homologous end-joining
map03460	Genetic Information Processing	Replication and repair	Fanconi anemia pathway
map02010	Environmental Information Processing	Membrane transport	ABC transporters
map02060	Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS)
map03070	Environmental Information Processing	Membrane transport	Bacterial secretion system
map02020	Environmental Information Processing	Signal transduction	Two-component system
map04014	Environmental Information Processing	Signal transduction	Ras signaling pathway
map04015	Environmental Information Processing	Signal transduction	Rap1 signaling pathway
map04010	Environmental Information Processing	Signal transduction	MAPK signaling pathway
map04013	Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly
map04016	Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant
map04011	Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast
map04012	Environmental Information Processing	Signal transduction	ErbB signaling pathway
map04310	Environmental Information Processing	Signal transduction	Wnt signaling pathway
map04330	Environmental Information Processing	Signal transduction	Notch signaling pathway
map04340	Environmental Information Processing	Signal transduction	Hedgehog signaling pathway
map04341	Environmental Information Processing	Signal transduction	Hedgehog signaling pathway - fly
map04350	Environmental Information Processing	Signal transduction	TGF-beta signaling pathway
map04390	Environmental Information Processing	Signal transduction	Hippo signaling pathway
map04391	Environmental Information Processing	Signal transduction	Hippo signaling pathway - fly
map04392	Environmental Information Processing	Signal transduction	Hippo signaling pathway - multiple species
map04370	Environmental Information Processing	Signal transduction	VEGF signaling pathway
map04371	Environmental Information Processing	Signal transduction	Apelin signaling pathway
map04630	Environmental Information Processing	Signal transduction	Jak-STAT signaling pathway
map04064	Environmental Information Processing	Signal transduction	NF-kappa B signaling pathway
map04668	Environmental Information Processing	Signal transduction	TNF signaling pathway
map04066	Environmental Information Processing	Signal transduction	HIF-1 signaling pathway
map04068	Environmental Information Processing	Signal transduction	FoxO signaling pathway
map04020	Environmental Information Processing	Signal transduction	Calcium signaling pathway
map04070	Environmental Information Processing	Signal transduction	Phosphatidylinositol signaling system
map04072	Environmental Information Processing	Signal transduction	Phospholipase D signaling pathway
map04071	Environmental Information Processing	Signal transduction	Sphingolipid signaling pathway
map04024	Environmental Information Processing	Signal transduction	cAMP signaling pathway
map04022	Environmental Information Processing	Signal transduction	cGMP-PKG signaling pathway
map04151	Environmental Information Processing	Signal transduction	PI3K-Akt signaling pathway
map04152	Environmental Information Processing	Signal transduction	AMPK signaling pathway
map04150	Environmental Information Processing	Signal transduction	mTOR signaling pathway
map04075	Environmental Information Processing	Signal transduction	Plant hormone signal transduction
map04080	Environmental Information Processing	Signaling molecules and interaction	Neuroactive ligand-receptor interaction
map04060	Environmental Information Processing	Signaling molecules and interaction	Cytokine-cytokine receptor interaction
map04061	Environmental Information Processing	Signaling molecules and interaction	Viral protein interaction with cytokine and cytokine receptor
map04512	Environmental Information Processing	Signaling molecules and interaction	ECM-receptor interaction
map04514	Environmental Information Processing	Signaling molecules and interaction	Cell adhesion molecules (CAMs)
map04144	Cellular Processes	Transport and catabolism	Endocytosis
map04145	Cellular Processes	Transport and catabolism	Phagosome
map04142	Cellular Processes	Transport and catabolism	Lysosome
map04146	Cellular Processes	Transport and catabolism	Peroxisome
map04140	Cellular Processes	Transport and catabolism	Autophagy - animal
map04138	Cellular Processes	Transport and catabolism	Autophagy - yeast
map04136	Cellular Processes	Transport and catabolism	Autophagy - other
map04137	Cellular Processes	Transport and catabolism	Mitophagy - animal
map04139	Cellular Processes	Transport and catabolism	Mitophagy - yeast
map04110	Cellular Processes	Cell growth and death	Cell cycle
map04111	Cellular Processes	Cell growth and death	Cell cycle - yeast
map04112	Cellular Processes	Cell growth and death	Cell cycle - Caulobacter
map04113	Cellular Processes	Cell growth and death	Meiosis - yeast
map04114	Cellular Processes	Cell growth and death	Oocyte meiosis
map04210	Cellular Processes	Cell growth and death	Apoptosis
map04214	Cellular Processes	Cell growth and death	Apoptosis - fly
map04215	Cellular Processes	Cell growth and death	Apoptosis - multiple species
map04216	Cellular Processes	Cell growth and death	Ferroptosis
map04217	Cellular Processes	Cell growth and death	Necroptosis
map04115	Cellular Processes	Cell growth and death	p53 signaling pathway
map04218	Cellular Processes	Cell growth and death	Cellular senescence
map04510	Cellular Processes	Cellular community - eukaryotes	Focal adhesion
map04520	Cellular Processes	Cellular community - eukaryotes	Adherens junction
map04530	Cellular Processes	Cellular community - eukaryotes	Tight junction
map04540	Cellular Processes	Cellular community - eukaryotes	Gap junction
map04550	Cellular Processes	Cellular community - eukaryotes	Signaling pathways regulating pluripotency of stem cells
map02024	Cellular Processes	Cellular community - prokaryotes	Quorum sensing
map05111	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Vibrio cholerae
map02025	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Pseudomonas aeruginosa
map02026	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Escherichia coli
map02030	Cellular Processes	Cell motility	Bacterial chemotaxis
map02040	Cellular Processes	Cell motility	Flagellar assembly
map04810	Cellular Processes	Cell motility	Regulation of actin cytoskeleton
map04640	Organismal Systems	Immune system	Hematopoietic cell lineage
map04610	Organismal Systems	Immune system	Complement and coagulation cascades
map04611	Organismal Systems	Immune system	Platelet activation
map04620	Organismal Systems	Immune system	Toll-like receptor signaling pathway
map04624	Organismal Systems	Immune system	Toll and Imd signaling pathway
map04621	Organismal Systems	Immune system	NOD-like receptor signaling pathway
map04622	Organismal Systems	Immune system	RIG-I-like receptor signaling pathway
map04623	Organismal Systems	Immune system	Cytosolic DNA-sensing pathway
map04625	Organismal Systems	Immune system	C-type lectin receptor signaling pathway
map04650	Organismal Systems	Immune system	Natural killer cell mediated cytotoxicity
map04612	Organismal Systems	Immune system	Antigen processing and presentation
map04660	Organismal Systems	Immune system	T cell receptor signaling pathway
map04658	Organismal Systems	Immune system	Th1 and Th2 cell differentiation
map04659	Organismal Systems	Immune system	Th17 cell differentiation
map04657	Organismal Systems	Immune system	IL-17 signaling pathway
map04662	Organismal Systems	Immune system	B cell receptor signaling pathway
map04664	Organismal Systems	Immune system	Fc epsilon RI signaling pathway
map04666	Organismal Systems	Immune system	Fc gamma R-mediated phagocytosis
map04670	Organismal Systems	Immune system	Leukocyte transendothelial migration
map04672	Organismal Systems	Immune system	Intestinal immune network for IgA production
map04062	Organismal Systems	Immune system	Chemokine signaling pathway
map04911	Organismal Systems	Endocrine system	Insulin secretion
map04910	Organismal Systems	Endocrine system	Insulin signaling pathway
map04922	Organismal Systems	Endocrine system	Glucagon signaling pathway
map04923	Organismal Systems	Endocrine system	Regulation of lipolysis in adipocytes
map04920	Organismal Systems	Endocrine system	Adipocytokine signaling pathway
map03320	Organismal Systems	Endocrine system	PPAR signaling pathway
map04929	Organismal Systems	Endocrine system	GnRH secretion
map04912	Organismal Systems	Endocrine system	GnRH signaling pathway
map04913	Organismal Systems	Endocrine system	Ovarian steroidogenesis
map04915	Organismal Systems	Endocrine system	Estrogen signaling pathway
map04914	Organismal Systems	Endocrine system	Progesterone-mediated oocyte maturation
map04917	Organismal Systems	Endocrine system	Prolactin signaling pathway
map04921	Organismal Systems	Endocrine system	Oxytocin signaling pathway
map04926	Organismal Systems	Endocrine system	Relaxin signaling pathway
map04935	Organismal Systems	Endocrine system	Growth hormone synthesis, secretion and action
map04918	Organismal Systems	Endocrine system	Thyroid hormone synthesis
map04919	Organismal Systems	Endocrine system	Thyroid hormone signaling pathway
map04928	Organismal Systems	Endocrine system	Parathyroid hormone synthesis, secretion and action
map04916	Organismal Systems	Endocrine system	Melanogenesis
map04924	Organismal Systems	Endocrine system	Renin secretion
map04614	Organismal Systems	Endocrine system	Renin-angiotensin system
map04925	Organismal Systems	Endocrine system	Aldosterone synthesis and secretion
map04927	Organismal Systems	Endocrine system	Cortisol synthesis and secretion
map04260	Organismal Systems	Circulatory system	Cardiac muscle contraction
map04261	Organismal Systems	Circulatory system	Adrenergic signaling in cardiomyocytes
map04270	Organismal Systems	Circulatory system	Vascular smooth muscle contraction
map04970	Organismal Systems	Digestive system	Salivary secretion
map04971	Organismal Systems	Digestive system	Gastric acid secretion
map04972	Organismal Systems	Digestive system	Pancreatic secretion
map04976	Organismal Systems	Digestive system	Bile secretion
map04973	Organismal Systems	Digestive system	Carbohydrate digestion and absorption
map04974	Organismal Systems	Digestive system	Protein digestion and absorption
map04975	Organismal Systems	Digestive system	Fat digestion and absorption
map04979	Organismal Systems	Digestive system	Cholesterol metabolism
map04977	Organismal Systems	Digestive system	Vitamin digestion and absorption
map04978	Organismal Systems	Digestive system	Mineral absorption
map04962	Organismal Systems	Excretory system	Vasopressin-regulated water reabsorption
map04960	Organismal Systems	Excretory system	Aldosterone-regulated sodium reabsorption
map04961	Organismal Systems	Excretory system	Endocrine and other factor-regulated calcium reabsorption
map04964	Organismal Systems	Excretory system	Proximal tubule bicarbonate reclamation
map04966	Organismal Systems	Excretory system	Collecting duct acid secretion
map04724	Organismal Systems	Nervous system	Glutamatergic synapse
map04727	Organismal Systems	Nervous system	GABAergic synapse
map04725	Organismal Systems	Nervous system	Cholinergic synapse
map04728	Organismal Systems	Nervous system	Dopaminergic synapse
map04726	Organismal Systems	Nervous system	Serotonergic synapse
map04720	Organismal Systems	Nervous system	Long-term potentiation
map04730	Organismal Systems	Nervous system	Long-term depression
map04723	Organismal Systems	Nervous system	Retrograde endocannabinoid signaling
map04721	Organismal Systems	Nervous system	Synaptic vesicle cycle
map04722	Organismal Systems	Nervous system	Neurotrophin signaling pathway
map04744	Organismal Systems	Sensory system	Phototransduction
map04745	Organismal Systems	Sensory system	Phototransduction - fly
map04740	Organismal Systems	Sensory system	Olfactory transduction
map04742	Organismal Systems	Sensory system	Taste transduction
map04750	Organismal Systems	Sensory system	Inflammatory mediator regulation of TRP channels
map04320	Organismal Systems	Development and regeneration	Dorso-ventral axis formation
map04360	Organismal Systems	Development and regeneration	Axon guidance
map04361	Organismal Systems	Development and regeneration	Axon regeneration
map04380	Organismal Systems	Development and regeneration	Osteoclast differentiation
map04211	Organismal Systems	Aging	Longevity regulating pathway
map04212	Organismal Systems	Aging	Longevity regulating pathway - worm
map04213	Organismal Systems	Aging	Longevity regulating pathway - multiple species
map04710	Organismal Systems	Environmental adaptation	Circadian rhythm
map04713	Organismal Systems	Environmental adaptation	Circadian entrainment
map04711	Organismal Systems	Environmental adaptation	Circadian rhythm - fly
map04712	Organismal Systems	Environmental adaptation	Circadian rhythm - plant
map04714	Organismal Systems	Environmental adaptation	Thermogenesis
map04626	Organismal Systems	Environmental adaptation	Plant-pathogen interaction
map05200	Human Diseases	Cancer: overview	Pathways in cancer
map05202	Human Diseases	Cancer: overview	Transcriptional misregulation in cancer
map05206	Human Diseases	Cancer: overview	MicroRNAs in cancer
map05205	Human Diseases	Cancer: overview	Proteoglycans in cancer
map05204	Human Diseases	Cancer: overview	Chemical carcinogenesis
map05203	Human Diseases	Cancer: overview	Viral carcinogenesis
map05230	Human Diseases	Cancer: overview	Central carbon metabolism in cancer
map05231	Human Diseases	Cancer: overview	Choline metabolism in cancer
map05235	Human Diseases	Cancer: overview	PD-L1 expression and PD-1 checkpoint pathway in cancer
map05210	Human Diseases	Cancer: specific types	Colorectal cancer
map05212	Human Diseases	Cancer: specific types	Pancreatic cancer
map05225	Human Diseases	Cancer: specific types	Hepatocellular carcinoma
map05226	Human Diseases	Cancer: specific types	Gastric cancer
map05214	Human Diseases	Cancer: specific types	Glioma
map05216	Human Diseases	Cancer: specific types	Thyroid cancer
map05221	Human Diseases	Cancer: specific types	Acute myeloid leukemia
map05220	Human Diseases	Cancer: specific types	Chronic myeloid leukemia
map05217	Human Diseases	Cancer: specific types	Basal cell carcinoma
map05218	Human Diseases	Cancer: specific types	Melanoma
map05211	Human Diseases	Cancer: specific types	Renal cell carcinoma
map05219	Human Diseases	Cancer: specific types	Bladder cancer
map05215	Human Diseases	Cancer: specific types	Prostate cancer
map05213	Human Diseases	Cancer: specific types	Endometrial cancer
map05224	Human Diseases	Cancer: specific types	Breast cancer
map05222	Human Diseases	Cancer: specific types	Small cell lung cancer
map05223	Human Diseases	Cancer: specific types	Non-small cell lung cancer
